ano_mes,data,ibov,ret_ibov,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2020-07,2020-07-31,102912.0,0.07940806250306132,0.36,5.2802,2.15,91.9639,0.01595941020574876,-0.43000000000000016,0.09999999999999998,0.026322561867461625
2020-08,2020-08-31,99369.0,-0.035034060323228644,0.24,5.4612,1.94,93.72393,0.03370457003979377,-0.20999999999999996,-0.12,0.019138270560513426
2020-09,2020-09-30,94603.0,-0.049151005764642264,0.64,5.3995,1.9,95.62386,-0.011362189137782197,-0.040000000000000036,0.4,0.02027155711460238
2020-11,2020-11-30,108888.0,0.14753581747777744,0.89,5.4178,1.9,97.65821,-0.03767333120892169,0.0,0.030000000000000027,0.0015869177182188388
2021-03,2021-03-31,116634.0,0.058242329606532195,0.93,5.6461,2.23,95.30017,0.04151519092523137,0.33000000000000007,0.07000000000000006,-0.03575920572602209
2021-04,2021-04-30,118894.0,0.019191513241835878,0.31,5.5621,2.65,96.43536,-0.014989306534373581,0.41999999999999993,-0.6200000000000001,0.01191173111233712
2021-05,2021-05-31,126216.0,0.05976238510528731,0.83,5.2911,3.29,97.253,-0.04994957103205144,0.6400000000000001,0.52,0.00847863273388505
2021-06,2021-06-30,126802.0,0.00463208979424401,0.53,5.0319,3.76,96.79272,-0.050228517375609405,0.46999999999999975,-0.29999999999999993,-0.004732810298911039
2021-08,2021-08-31,118781.0,-0.025107103944696618,0.87,5.2517,5.01,97.06923,0.018254993692268684,0.8599999999999994,-0.08999999999999997,0.006293557244324122
2021-09,2021-09-30,110979.0,-0.06794046725340763,1.16,5.2797,5.43,96.99082,0.005317444209785194,0.41999999999999993,0.2899999999999999,-0.0008077739980012488
2021-11,2021-11-30,101915.0,-0.015442141958804001,0.95,5.5569,7.65,99.0706,0.003045898055457519,1.3500000000000005,-0.30000000000000004,0.016319799753282016
2022-01,2022-01-31,112388.0,0.0696934966741587,0.54,5.5341,9.15,97.569,-0.020974350761183258,0.39000000000000057,-0.18999999999999995,-0.015896902620502695
